owner,repo,issue_id,id,node_id,url,actor_id,event,commit_id,created_at,label_name,label_color,performed_via_github_app,assignee_id,assigner_id,rename_from,rename_to,review_requester_id,requested_reviewer_id,milestone,events_url,commit_url
eljog,agileboard-ui,478287595,2542276260,MDEzOkFzc2lnbmVkRXZlbnQyNTQyMjc2MjYw,https://api.github.com/repos/eljog/agileboard-ui/issues/events/2542276260,15967687,assigned,NA,2019-08-08T06:59:40Z,NA,NA,NA,15967687,15967687,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/41/events,NA
eljog,agileboard-ui,478287595,2542281316,MDExOkNsb3NlZEV2ZW50MjU0MjI4MTMxNg==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/2542281316,15967687,closed,NA,2019-08-08T07:01:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/41/events,NA
eljog,agileboard-ui,381834865,1972657093,MDE1OlJlZmVyZW5jZWRFdmVudDE5NzI2NTcwOTM=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/1972657093,15967687,referenced,d49c7f7e13dc8bfb223536942c52b98813c89301,2018-11-17T06:43:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/39/events,https://api.github.com/repos/eljog/agileboard-ui/commits/d49c7f7e13dc8bfb223536942c52b98813c89301
eljog,agileboard-ui,381834865,1972657094,MDExOk1lcmdlZEV2ZW50MTk3MjY1NzA5NA==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/1972657094,15967687,merged,d49c7f7e13dc8bfb223536942c52b98813c89301,2018-11-17T06:43:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/39/events,https://api.github.com/repos/eljog/agileboard-ui/commits/d49c7f7e13dc8bfb223536942c52b98813c89301
eljog,agileboard-ui,381834865,1972657095,MDExOkNsb3NlZEV2ZW50MTk3MjY1NzA5NQ==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/1972657095,15967687,closed,NA,2018-11-17T06:43:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/39/events,NA
eljog,agileboard-ui,381834865,1972657105,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQxOTcyNjU3MTA1,https://api.github.com/repos/eljog/agileboard-ui/issues/events/1972657105,15967687,head_ref_deleted,NA,2018-11-17T06:43:28Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/39/events,NA
eljog,agileboard-ui,381834844,1972657000,MDE1OlJlZmVyZW5jZWRFdmVudDE5NzI2NTcwMDA=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/1972657000,15967687,referenced,6b8e238f5e58698984452502f430c5e6bb7794d2,2018-11-17T06:42:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/38/events,https://api.github.com/repos/eljog/agileboard-ui/commits/6b8e238f5e58698984452502f430c5e6bb7794d2
eljog,agileboard-ui,381834844,1972657001,MDExOk1lcmdlZEV2ZW50MTk3MjY1NzAwMQ==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/1972657001,15967687,merged,6b8e238f5e58698984452502f430c5e6bb7794d2,2018-11-17T06:42:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/38/events,https://api.github.com/repos/eljog/agileboard-ui/commits/6b8e238f5e58698984452502f430c5e6bb7794d2
eljog,agileboard-ui,381834844,1972657002,MDExOkNsb3NlZEV2ZW50MTk3MjY1NzAwMg==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/1972657002,15967687,closed,NA,2018-11-17T06:42:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/38/events,NA
eljog,agileboard-ui,381834844,1972657009,MDE5OkhlYWRSZWZEZWxldGVkRXZlbnQxOTcyNjU3MDA5,https://api.github.com/repos/eljog/agileboard-ui/issues/events/1972657009,15967687,head_ref_deleted,NA,2018-11-17T06:42:58Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/38/events,NA
eljog,agileboard-ui,381830466,1972638805,MDE1OlJlZmVyZW5jZWRFdmVudDE5NzI2Mzg4MDU=,https://api.github.com/repos/eljog/agileboard-ui/issues/events/1972638805,15967687,referenced,d565dcd7a3a5e584781bd448d5fcfb6930611822,2018-11-17T05:32:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/37/events,https://api.github.com/repos/eljog/agileboard-ui/commits/d565dcd7a3a5e584781bd448d5fcfb6930611822
eljog,agileboard-ui,381830466,1972638806,MDExOk1lcmdlZEV2ZW50MTk3MjYzODgwNg==,https://api.github.com/repos/eljog/agileboard-ui/issues/events/1972638806,15967687,merged,d565dcd7a3a5e584781bd448d5fcfb6930611822,2018-11-17T05:32:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.github.com/repos/eljog/agileboard-ui/issues/37/events,https://api.github.com/repos/eljog/agileboard-ui/commits/d565dcd7a3a5e584781bd448d5fcfb6930611822
