"Michigan State University
Office of the Registrar",,,,,,,,,,,,,,
Students by Major - Graduate,,,,,,,,,,,,,,
FALL 2005,,,,,,,,,,,,,,
,,,Total Students,,,,Masters,,,,Doctoral,,,
,,,Total,Women,Men,,Total,Women,Men,,Total,Women,Men,
Agriculture and Natural Resources,,,,,,,,,,,,,,
  History,7611,PHD,11,7,4,,0,0,0,,11,7,4,
  Urban and Regional Planning,7619,MURP,11,6,5,,11,6,5,,0,0,0,
  International Planning Studies,7623,MIPS,8,3,5,,8,3,5,,0,0,0,
  Social Science Total,,,"1,076",700,376,,689,508,181,,387,192,195,
Veterinary Medicine,,,,,,,,,,,,,,
  Large Animal Clinical Sciences,4763,MS,2,0,2,,2,0,2,,0,0,0,
  Large Animal Clinical Sciences,4764,PHD,6,2,4,,0,0,0,,6,2,4,
  Pathology,4780,MS,2,1,1,,2,1,1,,0,0,0,
  Pathology,4781,PHD,15,10,5,,0,0,0,,15,10,5,
  Pharmacology and Toxicology,4796,PHD,4,2,2,,0,0,0,,4,2,2,
  Physiology,4805,PHD,2,1,1,,0,0,0,,2,1,1,
  Small Animal Clinical Sciences,4810,MS,2,1,1,,2,1,1,,0,0,0,
  Microbiology-Envir Toxicology,4901,PHD,1,1,0,,0,0,0,,1,1,0,
  Pharmacology & Toxic-Envir Tox,4902,PHD,4,2,2,,0,0,0,,4,2,2,
  Microbiology,4903,PHD,1,1,0,,0,0,0,,1,1,0,
  Comparative Med & Integr Biol,4911,MS,4,4,0,,4,4,0,,0,0,0,
  Comparative Med & Integr Biol,4912,PHD,18,8,10,,0,0,0,,18,8,10,
  Food Safety,4914,MS,41,24,17,,41,24,17,,0,0,0,
  Veterinary Medicine Total,,,102,57,45,,51,30,21,,51,27,24,
Level Total,,,"6,758","3,673","3,085",,"3,594","2,177","1,417",,"3,164","1,496","1,668",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"The second occurrences of a major indicates students pursuing a  second degree.
ADDU - Additional major undergraduate
NOHN - No degree undergraduate",,,,,,,,,,,,,,
